CORTISONE ACETATO,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
DAPSONE,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
DESAMETASONE ACETATO,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C
DESAMETASONE SODIO FOSFATO,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+]
DIFENIDRAMINA HCl,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
ECONAZOLO NITRATO,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-]
EFEDRINA HCl,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC
FENAZONE,CC1=CC(=O)N(N1C)C2=CC=CC=C2
FENILALANINA,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
FENILEFRINA HCl,CNC[C@@H](C1=CC(=CC=C1)O)O
FENOLO,C1=CC=C(C=C1)O
FENOTIAZINA,C1=CC=C2C(=C1)NC3=CC=CC=C3S2
FRUTTOSIO,1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
FTALILSULFATIAZOLO,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O
FUROSEMIDE,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
GLICINA,C(C(=O)O)N
GLUCOSIO,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
IDROCLOROTIAZIDE,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
IDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
IDROCORTISONE ACETATO,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O
IMIPRAMINA HCl,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
INDOMETACINA,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
ISONIAZIDE,C1=CN=CC=C1C(=O)NN
LATTOSIO,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
LEUCINA,CC(C)C[C@@H](C(=O)O)N
LIDOCAINA HCl,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
LISINA HCl,(CCN)C[C@@H](C(=O)O)N.Cl
LITIO CITRATO,[Li+].[Li+].[Li+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
MAGNESIO ASPARTATO,C([C@@H](C(=O)[O-])N)C(=O)O.C([C@@H](C(=O)[O-])N)C(=O)O.O.O.O.O.[Mg+2]
MAGNESIO LATTATO,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Mg+2]
MANNITOLO,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
METFORMINA HCl,CN(C)C(=N)N=C(N)N.Cl
METILPARABEN,COC(=O)C1=CC=C(C=C1)O
METIONINA,CSCC[C@@H](C(=O)O)N
METRONIDAZOLO,CC1=NC=C(N1CCO)[N+](=O)[O-]
NICLOSAMIDE,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
NICOTINAMIDE,C1=CC(=CN=C1)C(=O)N
NIFEDIPINA,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
