Molecola;SMILES;OSSIDAZIONE ACQUA DI BROMO
LITIO CITRATO;[Li+].[Li+].[Li+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O;
MAGNESIO ASPARTATO;C([C@@H](C(=O)[O-])N)C(=O)O.C([C@@H](C(=O)[O-])N)C(=O)O.O.O.O.O.[Mg+2];
MAGNESIO LATTATO;CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Mg+2];
MANNITOLO;C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O;
METFORMINA HCl;CN(C)C(=N)N=C(N)N.Cl;
METILPARABEN;COC(=O)C1=CC=C(C=C1)O;
METIONINA;CSCC[C@@H](C(=O)O)N;
METRONIDAZOLO;CC1=NC=C(N1CCO)[N+](=O)[O-];0
NICLOSAMIDE;C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O;
NICOTINAMIDE;C1=CC(=CN=C1)C(=O)N;1
NIFEDIPINA;CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC;
PAPAVERINA HCl;COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl;
PARACETAMOLO;CC(=O)NC1=CC=C(C=C1)O;
PIRIDOSSINA HCl;CC1=NC=C(C(=C1O)CO)CO.Cl;1
POTASSIO ASPARTATO;[H+].[H+].C([C@@H](C(=O)[O-])N)C(=O)[O-].C([C@@H](C(=O)[O-])N)C(=O)[O-].O.[K+].[K+];
POTASSIO CITRATO;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O;
POTASSIO SORBATO;C=CC=CC(=O)[O-].[K+];1
POTASSIO TARTRATO;C(C(C(=O)[O-])O)C(=O)O.[K+];0
PREDNISONE;C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C;
PROBENECID;CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O;
PROCAINA HCl;CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl;
PROCAINAMMIDE HCl;CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl;
PROGESTERONE;CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C;
PROLINA;C1C[C@H](NC1)C(=O)O;
PROMETAZINA HCl;CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl;
PROPIFENAZONE;CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C;1
PROPILPARABEN;CCCOC(=O)C1=CC=C(C=C1)O;
SACCARINA;C1=CC=C2C(=C1)C(=O)NS2(=O)=O;
SACCARINA SODICA;C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+];1
SACCAROSIO;C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O;
SCOPOLAMINA HBr;CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.O.O.O.Br;
SERINA;C([C@@H](C(=O)O)N)O;
SODIO ACETATO;CC(=O)[O-].[Na+];
SODIO ASCORBATO;C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+];
SODIO BENZOATO;C1=CC=C(C=C1)C(=O)[O-].[Na+];
SODIO CITRATO;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+];
SODIO P-AMMINO SALICILATO;C1=CC(=C(C=C1N)O)C(=O)[O-].[Na+];
SODIO SALICILATO;C1=CC=C(C(=C1)C(=O)[O-])O.[Na+];
SORBITOLO;C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O;0
