id;nome saggio;descrizione;img;molecola interessata;rif saggio temp;visualizza grafico
52;NH4OH B.M. (LATTOSIO);Preparare una soluzione 7N (circa) di idrossido di ammonio, mescolando 1 ml di acqua e 1 ml di idrossido di ammonio concentrato (NH4OH 14N). Sciogliervi circa 50 mg di sostanza e scaldare a b.m. a lungo. Il saggio è positivo se si osserva una colorazione rossa.;;;52;1
53;NINIDRINA (AMINOACIDI);Inserire in una provetta circa 1 ml di soluzione etanolica di ninidrina (già pronta) ed aggiungervi circa 50 mg di sostanza. Scaldare a b.m. per qualche minuto, facendo attenzione. In presenza di α-aminoacidi si ha una reazione di condensazione tra l’amminoacido e due molecole di ninidrina. Il saggio è positivo se si sviluppa una colorazione intensa blu-viola. Note: i) Diversi amminoacidi danno origine a diverse aldeidi (come prodotto di reazione), ma il prodotto responsabile del colore della soluzione è lo stesso per tutti, salvo alcune eccezioni: Prolina e Idrossiprolina danno una colorazione gialla, Cisteina cloridrato da una colorazione rosso-intenso. ii) Alcuni sali di ammonio possono dare reazione positiva, alcune ammine aromatiche possono dare colorazioni giallo-arancio, mentre l’Efedrina HCl dà colorazione viola chiaro;saggio_ninidrina.png;;53;1
54;ORGANOLETTICA;;;;54;0
55;OSSALATO AMMONIO (CALCIO);Sciogliere circa 20 mg di sostanza in circa 2 ml di acido acetico CH3COOH 2N. Aggiungere una soluzione di ossalato di ammonio (4% acq.). In presenza di Calcio si ha la formazione di ossalato di calcio, Ca(COO)2, che forma un precipitato bianco, grazie alla formazione di un complesso tra il catione Ca2+ e lo ione ossalato(COO)22-, che è uno ione bidentato. Note: Per il Calcio gluconato il saggio è negativo. ;;;55;1
4;OSSIDAZIONE ACQUA DI BROMO;Sciogliere circa 10-20 mg di sostanza in circa 5 ml di H2O ed aggiungere qualche goccia del reattivo chiamato “acqua di bromo”, che ha una tipica colorazione arancio-bruna. Il saggio è positivo se la soluzione si decolora. Misurando il pH si possono avere informazioni aggiuntive: pH acido è indice della formazione di acido bromidrico (HBr) e può indicare la presenza nella molecola di una porzione aromatica.;acqua_di_bromo.png;;4;1
26;OSSIDAZIONE FEHLING;Sciogliere circa 50 mg di sostanza in circa 1-2 ml di acqua. Preparare il reattivo di Fehling mescolando in una seconda provetta una quantità pari (circa 1 ml) di due reattivi (Fehling A e Fehling B). Il reattivo A è una soluzione acquosa di solfato di rame (CuSO4) mentre il reattivo B è una soluzione basica di tartrato si sodio e potassio. In soluzione il rame funge da ossidante, e la preparazione al momento permette di essere protetto dal tartrato e di non precipitare sotto forma di idrossido. Unire la soluzione di Fehling alla soluzione della sostanza. Scaldare la soluzione risultante a b.m. per alcuni minuti. Il saggio è positivo se si osserva una decolorazione della soluzione (inizialmente blu), e formazione di una colorazione rosso-mattone (con precipitato), dell’ossido rameoso (Cu2O) in cui il rame è nella forma CuI.;saggio_fehling.png;;26;1
40;OSSIDAZIONE KMnO4;Sciogliere circa 20 mg di sostanza in circa 2 ml di acido solforico diluito (H2SO4 2N) ed aggiungere poche gocce di una soluzione 0,1 M di permanganato di potassio (KMnO4), che ha una tipica colorazione viola. Il saggio è positivo se la soluzione si decolora, o se si ha una colorazione marrone o marrone-chiaro (anche con eventuale precipitato di ossido di manganese, MnO2). Note: i) La reazione è istantanea, se avviene lentamente il saggio va considerato negativo.;saggio_bayer.png;;40;1
56;PROVA AL COCCIO;;;;56;0
58;RESORCINA & FLUORESCENZA (SACCARINA E SALI);SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Prendere la capsula di porcellana e mettervi circa 10 mg di sostanza con circa 10 mg di resorcina. Aggiungere circa 0,5 ml di acido solforico concentrato (H2SO4 conc) e scaldare alla fiamma diretta (bunsen), evitando la carbonizzazione. Preparare 10 ml di una soluzione leggermente alcalina (NaOH 1N) mescolando H2O e NaOH 2N in proporzione 1:1. Raffreddare, trasferire in provetta, cautamente, versare lungo le pareti la soluzione alcalina preparata, controllando il pH (procedere fino a pH basico). Il saggio è positivo se si sviluppa una colorazione intensa verde che dà fluorescenza alla lampada UV a λ = 365 nm con schermo protettivo.;;;58;1
59;RESORCINA + NaOH (CLORALIO IDRATO);;;;59;0
60;RIDUZIONE GRUPPO NITRO (NO2-Ar);;;;60;0
10;SAGGIO BIURETO;"Preparare una soluzione della sostanza, sciogliendo circa 20 mg di sostanza in circa 1-2 ml di acqua. Aggiungere 1-2 gocce di soluzione acquosa (12%) di solfato di rame (CuSO4). In presenza di aminoacidi (sia α-aminoacidi che β-aminoacidi) si ha la formazione di complessi dello ione rame(II), in cui CuII è “chelato” dagli atomi di ossigeno ed azoto della sostanza. Il saggio è positivo se si sviluppa una colorazione blu intensa (in alcuni casi celeste o azzurra), che vira e si intensifica per alcalinizzazione con idrossido di sodio diluito (NaOH 2N). Note: i) Per Calcio pantotenato il saggio è positivo se si aggiunge alla soluzione acquosa 1 ml di idrossido di sodio diluito (NaOH 2N); la colorazione risultante è blu che vira all’azzurro acidificando con HCl 2N. ii) Per Efedrina cloridrato il saggio è positivo con colorazione violetta. iii) Per i sulfamidici, usare condizioni leggermente diverse: circa 20 mg di sostanza solubilizzati in 5 ml di H2O e poche gocce di idrossido di sodio diluito (NaOH 2N): all’aggiunta del solfato di rame (1-2 gocce) si ottengono colorazioni diverse (con eventuale ppt) che variano dal celeste (Sulfaguanidina, Sulfanilammide) all’azzuro-grigio (Sulfametossipiridazina), passando per verde che vira al rosso-mattone (Sulfametazina), al marrone (Sulfatiazolo), all’azzurro-grigio (Ftalilsulfatiazolo), al grigio-marrone (Sulfadiazina), o grigio-verde che vira al marrone (Sulfamerazina).";;;10;1
62;SAGGIO LEGAL (ACIDO ASCORBICO);Preparare una soluzione della sostanza, sciogliendo circa 50 mg di sostanza in 1 ml di acqua. Aggiungere 2 ml di idrossido di sodio diluito (NaOH 2N) e qualche cristallo (poco!) di sodio nitroprussiato. Il saggio è positivo se si forma una colorazione gialla (o giallo-bruna, attenzione a quanto reattivo si aggiunge) che, in seguito ad aggiunta (goccia a goccia) di acido cloridrico diluito (HCl 2N) vira al blu-viola;;;62;1
64;SELIWANOFF (CHETOESOSI);Preparare una soluzione concentrata della sostanza, sciogliendo circa 500 mg in 1 ml di acqua. Aggiungere 500 mg di resorcina (prelevare dal banco dei reattivi solidi) e 5 ml di acido cloridrico diluito (HCl 2N). Scaldare a b.m. per circa 2 minuti. Il saggio è positivo se si osserva la formazione di una colorazione rossa.;saggio_seliwanoff.png;;64;1
65;SOLUBILITA ACQUA;Prelevare una aliquota di sostanza (10-50 mg ca.) ed introdurla in una provetta da saggio, valutando la sua solubilità in 2-4 ml di H2O;;;65;0
66;SOLUBILITA ETOH;Prelevare una aliquota di sostanza (10-50 mg ca.) ed introdurla in una provetta da saggio, valutando la sua solubilità in 2-4 ml di EtOH;;;66;0
67;SOLUBILITA HCL;Prelevare una aliquota di sostanza (10-50 mg ca.) ed introdurla in una provetta da saggio, valutando la sua solubilità in 2-4 ml di HCl 2N;;;67;0
68;SOLUBILITA NaHCO3;Prelevare una aliquota di sostanza (10-50 mg ca.) ed introdurla in una provetta da saggio, valutando la sua solubilità in 2-4 ml di NaHCO3;;;68;0
69;SOLUBILITA NAOH;Prelevare una aliquota di sostanza (10-50 mg ca.) ed introdurla in una provetta da saggio, valutando la sua solubilità in 2-4 ml di NaOH 2N;;;69;0
70;SPETTROSCOPIA;;;;70;0
71;TALLEIOCHINA (ALC CHINOLINICI);Preparare una soluzione sciogliendo circa 5 mg di sostanza in 5 ml di acqua. Aggiungere qualche goccia del reattivo Acqua di Bromo e 1 ml di NH4OH 2N. Il saggio è positivo se si sviluppa un’intensa colorazione verde smeraldo chiaro.;;;71;1
57;TIOCROMO (TIAMINA HCl);Preparare una soluzione della sostanza, sciogliendo circa 10-20 mg di sostanza in circa 2 ml di acqua. Aggiungere 0,5 ml di acido acetico diluito (CH3COOH 2N) e 1 ml di idrossido di sodio diluito (NaOH 2N). Scaldare a b.m. per 30 minuti. Aggiungere alla soluzione 3 ml di una soluzione acquosa (5%) di potassio-ferricianuro (ossidante blando), preparata al momento, 2 ml di NaOH 2N e 3 ml di alcool n-butilico (butanolo). Agitare (con attenzione!) la provetta per 2 minuti. Il saggio è positivo se si osserva fluorescenza azzurra dello strato alcolico, con lampada UV a λ = 365 nm e schermo protettivo. Note: i) Il saggio è positivo per la Tiamina cloridrato. ii) Soluzione di K-ferricianuro utilizzabile per più saggi.;saggio_tiocromo.png;;57;1
22;TTC (STEROIDI);Preparare una soluzione sciogliendo circa 50 mg di sostanza in circa 2 ml di etanolo. Aggiungere qualche goccia di una soluzione acquosa (10%) di Tetrametilammonio idrossido (N(CH3)4OH) ed 1 ml di una soluzione 5g/L in etanolo di Trifenil-Tetrazolio cloruro (TTC), già pronta. Il saggio è positivo se si osserva una colorazione rossa. Note: i) Il saggio coinvolge l’ossidazione del gruppo OH legato alla posizione 21 (prednisone e molti altri). ii) Altre sostanze danno il saggio positivo, come alcuni zuccheri e l’acido ascorbico;saggio_ttc.png;;22;1
72;UREA & FLUORESCENZA (CITRATI);;;;72;0
73;VANILLINA (ISONIAZIDE);Preparare una soluzione sciogliendo circa 20 mg di sostanza in 1-2 ml di acqua. Aggiungere 2 ml di una soluzione acquosa (1%) di Vanillina, preparata al momento con acqua calda. Lasciare a b.m. per qualche minuto. Lasciare a riposo, e favorire la cristallizzazione di un derivato giallo, fregando con la bacchetta di vetro le pareti interne della provetta. Filtrare e, dopo aver atteso l’essiccazione del solido, misurare il punto di fusione. Il saggio è positivo se per il punto di fusione si ottiene un valore intorno a 227°C.;saggio_vanillina.png;;73;1
74;VITALI-MORIN;SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Prendere la capsula di porcellana, mettervi circa 5-10 mg di sostanza ed aggiungere 0,5 ml di acido nitrico (HNO3) concentrato. Portando alla fiamma diretta (bunsen), facendo attenzione a non far carbonizzare, si ha una “ossidazione distruttiva” della sostanza. Dopo raffreddamento, sciogliere il residuo giallastro in 2 ml di acetone, ed aggiungere alcune gocce di una soluzione etanolica (3%) di idrossido di potassio (KOH). Il saggio è positivo se si ottiene una colorazione rosso-viola. Note: i) Il saggio, inizialmente identificato da Vitali per gli alcaloidi tropanici (Atropina, Omatropina, Scopolamina …), è in realtà poco selettivo: danno saggio positivo anche gli anestetici locali cloridrati (Procaina, Lidocaina, Tetracaina), le penicilline (che però non studiamo in lab) e la Procainamide (antiaritmico). ii) Per la Lidocaina si ottiene una colorazione giallo-verde;saggio_vitali_morin.png;;74;1
75;ZINKE-KONIG (PIRIDINE);"SOTTO CAPPA, CON OCCHIALI DI PROTEZIONE. Prendere la capsula di porcellana e mettervi circa 10 mg di sostanza, aggiungendo una pari quantità (10 mg) di 2,4-dinitroclorobenzene. Portare alla fiamma diretta (bunsen) per pochissimo tempo (pochi secondi), affinché si abbia fusione di entrambe le sostanze. Dopo raffreddamento aggiungere 1-2 ml di una soluzione (3%) in etanolo di Idrossido di potassio (KOH). Il saggio è positivo se si osserva una colorazione rossa intensa. Note: i) Danno il saggio positivo Acido nicotinico, Isoniazide, Nicotinammide e Piridossina cloridrato (con colorazione arancio in sospensione). ii) Anche molecole con anelli aromatici diversi danno saggio positivo: Acido nalidissico (con colorazione verde-marrone); Econazolo nitrato (colorazione gialla).";saggio_zinke_konig.png;;75;1
